Distance,Population
0.13773761,Turkish_Sivas
0.13809582,Cossack_Kuban
0.13813372,Russian_Smolensk
0.13939317,Belarusian_East
0.13962904,Polish_Podlasie_East_Mazovia
0.13972708,Turkish_Antalya
0.14043936,Russian_Tver
0.14098456,Russian_Meshchera_Lowlands
0.14123394,Syrian
0.14132705,Finnish_Southwest
0.14199739,Russian
0.14263705,Levantine
0.14380760,German_East_Prussia_Memelland
0.14526928,Estonian-2
0.14704922,Finnish_Southeast
0.14758842,Russian_Nizhny_Novgorod_Yaroslavl
0.14775152,Finnish_Central
0.14794857,Azerbaijan
0.14879842,Estonian
0.14920713,Finnish
0.14978712,Polish_Sudovia
0.15064847,Russian_Novgorod_Pskov
0.15192337,Russian_North
0.15215424,Assyrian
0.15229635,Palestinian
0.15235499,Armenian
0.15240674,Egypt
0.15337639,Russian_Kostroma
0.15586995,Latvian
0.15712499,Latvian2
0.15744907,Jordanian
0.15769485,Russian_Kirov
0.15828684,Russian_Perm
0.15851809,Finnish_Southeast_Ingria
0.15875410,North_Finnish
0.15895760,Paraguai_medio
0.15953039,Guiana_Francesa_medio
0.16009074,Finnish_Northeast
0.16014040,Lithuanian
0.16045226,Iraqi
0.16050687,East_Finnish
0.16131248,Karelian
0.16145479,Georgia
0.16335103,Venezuela_medio
0.16433024,Vepsian
0.16682254,Iran
0.17247935,Argentino_medio
0.17306121,Russian_Pinega
0.17374674,Brasileiro_medio
0.17554073,Tatar_Russia
0.17961529,United_Arab_Emirates
0.18249201,Tunisia
0.18404584,Oman
0.18538049,North-African
0.18734441,Libya
0.18895019,Tajikistan
0.19075671,Qatar
0.19297999,Saudi_Arabia
0.19580301,Morocco
0.19635790,Saami_Norway
0.19826488,Yemen
0.20102668,Libyan
0.21283000,Afghanistan
0.21602514,Saami_Finland
0.21647818,Chuvash_Russia
0.21956902,Kuwait
0.22030408,Chile_medio
0.22374988,Turkmenistan
0.22692069,Algeria
0.22779338,Mauritania
0.22898880,Saami
0.23580354,Cuba_medio
0.23773601,Saami_Sweden
0.24485944,Pakistan
0.25159373,PuertoRico_medio
0.25529187,Uzbekistan
0.27949372,Nepalese
0.28024432,Mexico
0.28576473,Bashkir_Russia
0.28962750,New_Zealand_Indigenous
0.29249227,Suriname_medio
0.29805500,CostaRica_medio
0.30200626,Trinidad_medio
0.31871426,Guiana_medio
0.32031813,Panama_medio
0.32348872,Belize_medio
0.32563847,Dominican_Republic
0.33711352,Indian
0.33749571,Nicaragua_medio
0.35560676,Honduras_medio
0.35740284,ElSalvador_medio
0.36224293,Bangladesh
0.36507376,Sri_Lanka
0.36836572,Ecuador
0.37961246,Colombia
0.38300049,Eritrea
0.39219508,Guatemala_medio
0.41332309,Kazakhistan
0.42221133,Kirghizstan
0.45037023,Sudan
0.45694610,Somalia
0.48227729,Bolivia
0.49199222,Mongolia
0.49561121,Ethiopia
0.54310840,Bahamas_medio
0.54370948,Myanmar
0.55435069,Jamaica_medio
0.55557245,Thailand
0.56239180,Uganda
0.56251415,Madagascar
0.56339150,Peru
0.56757065,Malaysia
0.56862752,Russian_Yakut
0.57210289,Rwanda
0.57570369,Cambodia
0.58501505,Central_Filipino
0.58883180,East_Timor
0.58904509,Indonesia
0.60384618,Haiti_medio
0.60928386,Japan
0.61211081,Vietnam
0.61378823,Laos
0.61612707,Korea
0.61845675,Brunei
0.62751448,Kenya
0.63206820,Chinese
0.63324973,Taiwan_Indigenous
0.64829183,Amerindian
