Albanian,0.121738,0.149475,0.015293,-0.018491,0.024202,-0.004234,0.003258,0.001814,0.001720,0.018066,-0.001873,0.004024,-0.007215,0.006087,-0.009363,-0.001842,0.005945,0.000371,0.005080,-0.003770,-0.003768,-0.002914,0.000978,-0.001314,0.000515
Austrian_Burgenland,0.133247,0.139972,0.055403,0.031032,0.037862,0.012842,0.005176,0.006646,0.003849,0.004770,-0.004090,0.001998,-0.005385,0.001755,0.003729,0.002034,-0.000245,0.000804,0.003977,0.000357,0.000357,-0.000907,0.001289,0.004875,-0.000020
Austrian_Carinthia,0.135233,0.140601,0.058611,0.038251,0.041157,0.016240,0.006750,0.007447,0.001500,-0.001027,-0.005310,-0.000998,0.000489,0.016132,-0.003851,-0.000413,0.002057,0.000955,0.006738,-0.000054,0.001256,-0.005659,0.002646,0.002177,0.001834
Austrian_Lower Austria,0.133693,0.142117,0.055468,0.032184,0.042429,0.013728,0.004718,0.006144,0.007773,0.010384,-0.004969,0.003402,-0.007741,0.004084,0.004575,0.001872,-0.001145,0.000875,0.006142,-0.000319,0.002001,-0.002903,0.000272,0.003924,0.001775
Austrian_Salzburg-Upper_Austria,0.134245,0.144110,0.056152,0.030717,0.042591,0.012906,0.004404,0.005385,0.006152,0.009597,-0.006223,0.003996,-0.009276,0.001377,0.007956,0.003193,-0.000888,0.001695,0.005202,0.000545,0.002328,-0.001213,-0.000396,0.006213,-0.000624
Austrian_Styria,0.134373,0.142798,0.058826,0.031795,0.044752,0.012721,0.006008,0.008061,0.008864,0.006592,-0.004791,0.000078,-0.000836,0.011485,-0.002790,0.000229,0.001330,-0.000086,0.005378,-0.001021,-0.001505,-0.003382,0.000821,0.000988,0.000526
Austrian_Tyrol,0.131827,0.145210,0.045592,0.016512,0.036341,0.007653,0.003975,0.004462,0.004263,0.014446,-0.004326,0.006189,-0.013127,-0.004263,0.006045,0.001036,0.000297,0.000983,0.003234,-0.000032,0.001300,0.000701,-0.000752,0.003779,-0.000930
Basque,0.128708,0.155957,0.052901,0.008805,0.053330,0.002237,-0.001459,0.002813,0.026766,0.039253,-0.005542,0.010520,-0.021320,-0.016729,0.015262,0.001508,-0.006371,0.000769,-0.001308,-0.001964,0.006432,0.000583,-0.004618,-0.003528,0.000601
Belgian,0.133113,0.143196,0.057605,0.032002,0.043340,0.012661,0.003618,0.005421,0.008810,0.012044,-0.005403,0.004889,-0.011437,-0.004136,0.011930,0.003211,-0.003846,0.001388,0.003657,0.001261,0.003578,0.000269,-0.000780,0.006523,-0.000059
Bosnian,0.130516,0.138415,0.048464,0.026694,0.034669,0.011843,0.006743,0.007243,0.000156,-0.002278,-0.003646,-0.002274,0.003782,0.017149,-0.008083,-0.000929,0.003825,-0.000215,0.005321,-0.000451,-0.001453,-0.005379,0.002642,-0.000208,0.001495
